id,command,last_name,first_name,rank,shield_no,active
927384,PB CAS,RAAB,THOMAS,Detective,04500,false
927385,094 PCT,RACZKA,DAVID,Police Officer,09181,false
927386,MED DIV,RAINFORD,DEBRA,Police Officer,09217,false
927387,121 PCT,RAMOS,ALBERT,Police Officer,25797,false
927388,T.A.R.U,RAMOS,DAVID,Police Officer,09202,false
927389,F.T.S.,RAMOS,JESUS,Police Officer,08575,false
927390,TB DT01,RAMOS,MARCO,Police Officer,31200,false
927391,CW T TF,RAMOS,MEAD,Police Officer,22497,false
927392,TB LIAS,RAMSON,REGGIE,Police Officer,04682,false
927393,PBQST/F,RANDALL,REMY,Police Officer,29735,false
927394,M COURT,RANSOME,SUZANNE,Sergeant,05010,false
927395,P A T U,RAUPP,RICHARD,Police Officer,28281,false
927396,BKROBSQ,ISRAEL,NATHANYEL,Detective,02299,false
927397,DB SVD,REBHOLZ,MICHELLE,Police Officer,21089,false
927398,TRF/MTF,REDDEN,JAMES,Police Officer,29226,false
927399,047 DET,REGNIER,ROBERT,Detective,02946,true
927400,P A T U,REGULBUTO,MICHAEL,Police Officer,08424,false
927401,PSA 1,REID,CARLOS,Police Officer,02847,false
927402,DB QNHM,REIN,DAVID,Detective,02980,false
927403,CW T TF,REJOUIS,PAUL,Police Officer,06232,false
927404,H BX/Q,REN,JACK,Sergeant,02268,false
927405,044 PCT,RESTIVO,MARK,Police Officer,28288,false
927407,DB BXHM,REYES,CHRISTINE,Detective,02808,false
927408,PBBX AC,REYNOLDS,JOHN,Police Officer,04281,false
927409,P A T U,RICHARDS,CARLYLE,Police Officer,19071,false
927410,INT OAS,RICHARDS,THOMAS,Detective,03638,false
927411,084 PCT,RICHARDSON,ALISON,Police Officer,28307,false
927412,P A T U,RICHARDSON,EBONY,Police Officer,24307,false
927413,P A T U,RIOS,CATHERINE,Police Officer,09480,false
927414,P A T U,RIOS,MICHAEL,Police Officer,21279,false
927415,TB DT34,RISOLO,MICHAEL,Police Officer,04791,false
927416,ESU,RIVELLI,ANTHONY,Detective,04676,false
927417,PB EMD,LYNCH,RHONDA,Police Officer,26853,false
927418,NARCBBX,RIVERA,DANIEL,Detective,07978,false
927419,DB SID,RIVERA,GERALDO,Detective,03226,false
927420,TB DT01,RIVERA,IVAN,Police Officer,24433,false
927421,P A T U,MADJARIAN,GEORGE,Police Officer,26866,false
927422,P A T U,RIVERA,LUIS,Police Officer,00000,false
927423,INT OAS,RIVERA,MICHAEL,Detective,05055,false
927424,P A T U,RIVERA,RAFAEL,Police Officer,16619,false
927425,P A T U,RIZZO,ANTHONY,Police Officer,04420,false
927426,WARRSEC,ROBBINS,DANIEL,Detective,03076,false
927427,030 PCT,ROBINSON,JOHN,Police Officer,30259,false
927428,073 PCT,ROBINSONMAGLIONE,TOYAGAIL,Police Officer,13006,false
927429,BKLN CT,ROBINSONHEWITT,SHARON,Sergeant,04482,false
